Servico,Latitude,Longitude,Linha,Servico2,Frequencia
Linha 1 GOS - URI,-22.98503,-43.19809,Linha 1,GOS-URI,Todos os dias
Linha 1 GOS - URI,-22.98313,-43.19666,Linha 2,ESA-PVN,Dias úteis e Sábados
Linha 1 GOS - URI,-22.98282,-43.19642,Linha 2,BTF-PVN,Domingos e Feriados
Linha 1 GOS - URI,-22.98276,-43.19638,,,
Linha 1 GOS - URI,-22.98250,-43.19618,,,
Linha 1 GOS - URI,-22.98222,-43.19603,,,
Linha 1 GOS - URI,-22.98167,-43.19574,,,
Linha 1 GOS - URI,-22.98092,-43.19536,,,
Linha 1 GOS - URI,-22.98049,-43.19514,,,
Linha 1 GOS - URI,-22.97981,-43.19491,,,
Linha 1 GOS - URI,-22.97891,-43.19481,,,
Linha 1 GOS - URI,-22.97838,-43.19476,,,
Linha 1 GOS - URI,-22.97660,-43.19461,,,
Linha 1 GOS - URI,-22.97660,-43.19461,,,
Linha 1 GOS - URI,-22.97547,-43.19445,,,
Linha 1 GOS - URI,-22.97449,-43.19431,,,
Linha 1 GOS - URI,-22.97389,-43.19423,,,
Linha 1 GOS - URI,-22.97288,-43.19389,,,
Linha 1 GOS - URI,-22.97176,-43.19313,,,
Linha 1 GOS - URI,-22.97112,-43.19248,,,
Linha 1 GOS - URI,-22.96926,-43.18991,,,
Linha 1 GOS - URI,-22.96766,-43.18688,,,
Linha 1 GOS - URI,-22.96766,-43.18688,,,
Linha 1 GOS - URI,-22.96577,-43.18307,,,
Linha 1 GOS - URI,-22.96507,-43.18165,,,
Linha 1 GOS - URI,-22.96481,-43.18116,,,
Linha 1 GOS - URI,-22.96457,-43.18088,,,
Linha 1 GOS - URI,-22.96441,-43.18077,,,
Linha 1 GOS - URI,-22.96427,-43.18071,,,
Linha 1 GOS - URI,-22.96427,-43.18071,,,
Linha 1 GOS - URI,-22.96218,-43.18046,,,
Linha 1 GOS - URI,-22.96023,-43.18026,,,
Linha 1 GOS - URI,-22.95853,-43.18060,,,
Linha 1 GOS - URI,-22.95686,-43.18126,,,
Linha 1 GOS - URI,-22.95651,-43.18149,,,
Linha 1 GOS - URI,-22.95297,-43.18347,,,
Linha 1 GOS - URI,-22.95226,-43.18389,,,
Linha 1 GOS - URI,-22.95131,-43.18415,,,
Linha 1 GOS - URI,-22.95131,-43.18415,,,
Linha 1 GOS - URI,-22.95036,-43.18421,,,
Linha 1 GOS - URI,-22.94933,-43.18427,,,
Linha 1 GOS - URI,-22.94802,-43.18431,,,
Linha 1 GOS - URI,-22.94623,-43.18435,,,
Linha 1 GOS - URI,-22.94297,-43.18380,,,
Linha 1 GOS - URI,-22.94179,-43.18282,,,
Linha 1 GOS - URI,-22.94127,-43.18186,,,
Linha 1 GOS - URI,-22.94038,-43.18057,,,
Linha 1 GOS - URI,-22.93959,-43.17937,,,
Linha 1 GOS - URI,-22.93892,-43.17843,,,
Linha 1 GOS - URI,-22.93850,-43.17830,,,
Linha 1 GOS - URI,-22.93850,-43.17830,,,
Linha 1 GOS - URI,-22.93740,-43.17797,,,
Linha 1 GOS - URI,-22.93593,-43.17765,,,
Linha 1 GOS - URI,-22.93380,-43.17796,,,
Linha 1 GOS - URI,-22.93089,-43.17813,,,
Linha 1 GOS - URI,-22.93089,-43.17813,,,
Linha 1 GOS - URI,-22.93067,-43.17815,,,
Linha 1 GOS - URI,-22.92803,-43.17716,,,
Linha 1 GOS - URI,-22.92709,-43.17673,,,
Linha 1 GOS - URI,-22.92709,-43.17673,,,
Linha 1 GOS - URI,-22.92633,-43.17666,,,
Linha 1 GOS - URI,-22.92527,-43.17671,,,
Linha 1 GOS - URI,-22.92413,-43.17715,,,
Linha 1 GOS - URI,-22.92346,-43.17722,,,
Linha 1 GOS - URI,-22.92289,-43.17715,,,
Linha 1 GOS - URI,-22.92157,-43.17695,,,
Linha 1 GOS - URI,-22.92064,-43.17671,,,
Linha 1 GOS - URI,-22.92064,-43.17671,,,
Linha 1 GOS - URI,-22.91470,-43.17511,,,
Linha 1 GOS - URI,-22.91408,-43.17490,,,
Linha 1 GOS - URI,-22.91336,-43.17483,,,
Linha 1 GOS - URI,-22.91259,-43.17492,,,
Linha 1 GOS - URI,-22.91147,-43.17531,,,
Linha 1 GOS - URI,-22.91095,-43.17564,,,
Linha 1 GOS - URI,-22.91095,-43.17564,,,
Linha 1 GOS - URI,-22.91045,-43.17594,,,
Linha 1 GOS - URI,-22.90970,-43.17639,,,
Linha 1 GOS - URI,-22.90846,-43.17743,,,
Linha 1 GOS - URI,-22.90794,-43.17776,,,
Linha 1 GOS - URI,-22.90752,-43.17804,,,
Linha 1 GOS - URI,-22.90752,-43.17804,,,
Linha 1 GOS - URI,-22.90416,-43.18026,,,
Linha 1 GOS - URI,-22.90364,-43.18060,,,
Linha 1 GOS - URI,-22.90339,-43.18082,,,
Linha 1 GOS - URI,-22.90320,-43.18107,,,
Linha 1 GOS - URI,-22.90320,-43.18107,,,
Linha 1 GOS - URI,-22.90299,-43.18154,,,
Linha 1 GOS - URI,-22.90287,-43.18196,,,
Linha 1 GOS - URI,-22.90279,-43.18246,,,
Linha 1 GOS - URI,-22.90277,-43.18297,,,
Linha 1 GOS - URI,-22.90278,-43.18354,,,
Linha 1 GOS - URI,-22.90279,-43.18443,,,
Linha 1 GOS - URI,-22.90290,-43.18534,,,
Linha 1 GOS - URI,-22.90305,-43.18587,,,
Linha 1 GOS - URI,-22.90305,-43.18587,,,
Linha 1 GOS - URI,-22.90348,-43.18746,,,
Linha 1 GOS - URI,-22.90494,-43.19076,,,
Linha 1 GOS - URI,-22.90494,-43.19076,,,
Linha 1 GOS - URI,-22.90570,-43.19249,,,
Linha 1 GOS - URI,-22.90570,-43.19249,,,
Linha 1 GOS - URI,-22.91005,-43.20028,,,
Linha 1 GOS - URI,-22.91005,-43.20028,,,
Linha 1 GOS - URI,-22.91362,-43.20650,,,
Linha 1 GOS - URI,-22.91392,-43.20690,,,
Linha 1 GOS - URI,-22.91392,-43.20690,,,
Linha 1 GOS - URI,-22.91527,-43.20874,,,
Linha 1 GOS - URI,-22.91549,-43.20923,,,
Linha 1 GOS - URI,-22.91618,-43.21205,,,
Linha 1 GOS - URI,-22.91642,-43.21278,,,
Linha 1 GOS - URI,-22.91715,-43.21459,,,
Linha 1 GOS - URI,-22.91856,-43.21800,,,
Linha 1 GOS - URI,-22.91856,-43.21800,,,
Linha 1 GOS - URI,-22.91918,-43.21952,,,
Linha 1 GOS - URI,-22.91960,-43.22038,,,
Linha 1 GOS - URI,-22.92047,-43.22198,,,
Linha 1 GOS - URI,-22.92060,-43.22231,,,
Linha 1 GOS - URI,-22.92071,-43.22267,,,
Linha 1 GOS - URI,-22.92073,-43.22288,,,
Linha 1 GOS - URI,-22.92080,-43.22417,,,
Linha 1 GOS - URI,-22.92080,-43.22417,,,
Linha 1 GOS - URI,-22.92085,-43.22529,,,
Linha 1 GOS - URI,-22.92088,-43.22574,,,
Linha 1 GOS - URI,-22.92096,-43.22627,,,
Linha 1 GOS - URI,-22.92107,-43.22671,,,
Linha 1 GOS - URI,-22.92122,-43.22715,,,
Linha 1 GOS - URI,-22.92236,-43.22994,,,
Linha 1 GOS - URI,-22.92272,-43.23058,,,
Linha 1 GOS - URI,-22.92360,-43.23182,,,
Linha 1 GOS - URI,-22.92548,-43.23441,,,
Linha 1 GOS - URI,-22.92736,-43.23593,,,
Linha 1 GOS - URI,-22.93072,-43.23803,,,
Linha 1 GOS - URI,-22.93184,-43.23960,,,
Linha 2 ESA - PNV,-22.91392,-43.20690,,,
Linha 2 ESA - PNV,-22.91351,-43.20816,,,
Linha 2 ESA - PNV,-22.91053,-43.21692,,,
Linha 2 ESA - PNV,-22.91052,-43.21769,,,
Linha 2 ESA - PNV,-22.91052,-43.21769,,,
Linha 2 ESA - PNV,-22.91041,-43.21844,,,
Linha 2 ESA - PNV,-22.91016,-43.21922,,,
Linha 2 ESA - PNV,-22.90994,-43.21988,,,
Linha 2 ESA - PNV,-22.90982,-43.22024,,,
Linha 2 ESA - PNV,-22.90973,-43.22063,,,
Linha 2 ESA - PNV,-22.90970,-43.22100,,,
Linha 2 ESA - PNV,-22.90971,-43.22133,,,
Linha 2 ESA - PNV,-22.90971,-43.22162,,,
Linha 2 ESA - PNV,-22.90973,-43.22192,,,
Linha 2 ESA - PNV,-22.90973,-43.22192,,,
Linha 2 ESA - PNV,-22.90974,-43.22203,,,
Linha 2 ESA - PNV,-22.90976,-43.22218,,,
Linha 2 ESA - PNV,-22.90982,-43.22249,,,
Linha 2 ESA - PNV,-22.90992,-43.22284,,,
Linha 2 ESA - PNV,-22.91038,-43.22451,,,
Linha 2 ESA - PNV,-22.91049,-43.22498,,,
Linha 2 ESA - PNV,-22.91053,-43.22539,,,
Linha 2 ESA - PNV,-22.91056,-43.22576,,,
Linha 2 ESA - PNV,-22.91052,-43.22674,,,
Linha 2 ESA - PNV,-22.91011,-43.22986,,,
Linha 2 ESA - PNV,-22.91003,-43.23179,,,
Linha 2 ESA - PNV,-22.90970,-43.23393,,,
Linha 2 ESA - PNV,-22.90970,-43.23393,,,
Linha 2 ESA - PNV,-22.90948,-43.23539,,,
Linha 2 ESA - PNV,-22.90931,-43.23618,,,
Linha 2 ESA - PNV,-22.90847,-43.23760,,,
Linha 2 ESA - PNV,-22.90739,-43.23876,,,
Linha 2 ESA - PNV,-22.90615,-43.24008,,,
Linha 2 ESA - PNV,-22.90488,-43.24119,,,
Linha 2 ESA - PNV,-22.90391,-43.24168,,,
Linha 2 ESA - PNV,-22.90311,-43.24173,,,
Linha 2 ESA - PNV,-22.90310,-43.24174,,,
Linha 2 ESA - PNV,-22.90164,-43.24171,,,
Linha 2 ESA - PNV,-22.90119,-43.24172,,,
Linha 2 ESA - PNV,-22.90081,-43.24175,,,
Linha 2 ESA - PNV,-22.90043,-43.24183,,,
Linha 2 ESA - PNV,-22.90012,-43.24192,,,
Linha 2 ESA - PNV,-22.89983,-43.24203,,,
Linha 2 ESA - PNV,-22.89954,-43.24216,,,
Linha 2 ESA - PNV,-22.89921,-43.24235,,,
Linha 2 ESA - PNV,-22.89893,-43.24254,,,
Linha 2 ESA - PNV,-22.89867,-43.24274,,,
Linha 2 ESA - PNV,-22.89847,-43.24291,,,
Linha 2 ESA - PNV,-22.89813,-43.24324,,,
Linha 2 ESA - PNV,-22.89775,-43.24362,,,
Linha 2 ESA - PNV,-22.89750,-43.24388,,,
Linha 2 ESA - PNV,-22.89620,-43.24519,,,
Linha 2 ESA - PNV,-22.89620,-43.24519,,,
Linha 2 ESA - PNV,-22.89601,-43.24535,,,
Linha 2 ESA - PNV,-22.89568,-43.24564,,,
Linha 2 ESA - PNV,-22.89520,-43.24597,,,
Linha 2 ESA - PNV,-22.89402,-43.24664,,,
Linha 2 ESA - PNV,-22.89312,-43.24720,,,
Linha 2 ESA - PNV,-22.89172,-43.24813,,,
Linha 2 ESA - PNV,-22.89056,-43.24893,,,
Linha 2 ESA - PNV,-22.88995,-43.24946,,,
Linha 2 ESA - PNV,-22.88932,-43.25008,,,
Linha 2 ESA - PNV,-22.88911,-43.25027,,,
Linha 2 ESA - PNV,-22.88889,-43.25045,,,
Linha 2 ESA - PNV,-22.88870,-43.25057,,,
Linha 2 ESA - PNV,-22.88837,-43.25075,,,
Linha 2 ESA - PNV,-22.88805,-43.25091,,,
Linha 2 ESA - PNV,-22.88760,-43.25108,,,
Linha 2 ESA - PNV,-22.88713,-43.25129,,,
Linha 2 ESA - PNV,-22.88684,-43.25142,,,
Linha 2 ESA - PNV,-22.88666,-43.25153,,,
Linha 2 ESA - PNV,-22.88641,-43.25169,,,
Linha 2 ESA - PNV,-22.88615,-43.25189,,,
Linha 2 ESA - PNV,-22.88574,-43.25224,,,
Linha 2 ESA - PNV,-22.88554,-43.25241,,,
Linha 2 ESA - PNV,-22.88289,-43.25473,,,
Linha 2 ESA - PNV,-22.88258,-43.25503,,,
Linha 2 ESA - PNV,-22.88236,-43.25528,,,
Linha 2 ESA - PNV,-22.88216,-43.25556,,,
Linha 2 ESA - PNV,-22.88197,-43.25585,,,
Linha 2 ESA - PNV,-22.88184,-43.25613,,,
Linha 2 ESA - PNV,-22.88171,-43.25648,,,
Linha 2 ESA - PNV,-22.88162,-43.25677,,,
Linha 2 ESA - PNV,-22.88157,-43.25708,,,
Linha 2 ESA - PNV,-22.88153,-43.25746,,,
Linha 2 ESA - PNV,-22.88153,-43.25856,,,
Linha 2 ESA - PNV,-22.88154,-43.25920,,,
Linha 2 ESA - PNV,-22.88154,-43.26045,,,
Linha 2 ESA - PNV,-22.88154,-43.26045,,,
Linha 2 ESA - PNV,-22.88153,-43.26104,,,
Linha 2 ESA - PNV,-22.88154,-43.26160,,,
Linha 2 ESA - PNV,-22.88154,-43.26240,,,
Linha 2 ESA - PNV,-22.88154,-43.26392,,,
Linha 2 ESA - PNV,-22.88152,-43.26486,,,
Linha 2 ESA - PNV,-22.88150,-43.26517,,,
Linha 2 ESA - PNV,-22.88145,-43.26553,,,
Linha 2 ESA - PNV,-22.88135,-43.26602,,,
Linha 2 ESA - PNV,-22.88125,-43.26634,,,
Linha 2 ESA - PNV,-22.88110,-43.26678,,,
Linha 2 ESA - PNV,-22.88092,-43.26721,,,
Linha 2 ESA - PNV,-22.87965,-43.27112,,,
Linha 2 ESA - PNV,-22.87941,-43.27163,,,
Linha 2 ESA - PNV,-22.87941,-43.27163,,,
Linha 2 ESA - PNV,-22.87886,-43.27273,,,
Linha 2 ESA - PNV,-22.87833,-43.27365,,,
Linha 2 ESA - PNV,-22.87748,-43.27479,,,
Linha 2 ESA - PNV,-22.87679,-43.27561,,,
Linha 2 ESA - PNV,-22.87634,-43.27625,,,
Linha 2 ESA - PNV,-22.87610,-43.27665,,,
Linha 2 ESA - PNV,-22.87586,-43.27713,,,
Linha 2 ESA - PNV,-22.87565,-43.27778,,,
Linha 2 ESA - PNV,-22.87545,-43.27846,,,
Linha 2 ESA - PNV,-22.87494,-43.28037,,,
Linha 2 ESA - PNV,-22.87477,-43.28127,,,
Linha 2 ESA - PNV,-22.87474,-43.28149,,,
Linha 2 ESA - PNV,-22.87473,-43.28199,,,
Linha 2 ESA - PNV,-22.87454,-43.28367,,,
Linha 2 ESA - PNV,-22.87454,-43.28367,,,
Linha 2 ESA - PNV,-22.87443,-43.28470,,,
Linha 2 ESA - PNV,-22.87428,-43.28536,,,
Linha 2 ESA - PNV,-22.87407,-43.28592,,,
Linha 2 ESA - PNV,-22.87381,-43.28639,,,
Linha 2 ESA - PNV,-22.87348,-43.28683,,,
Linha 2 ESA - PNV,-22.87327,-43.28707,,,
Linha 2 ESA - PNV,-22.87139,-43.28867,,,
Linha 2 ESA - PNV,-22.87064,-43.28956,,,
Linha 2 ESA - PNV,-22.86990,-43.29073,,,
Linha 2 ESA - PNV,-22.86933,-43.29200,,,
Linha 2 ESA - PNV,-22.86875,-43.29416,,,
Linha 2 ESA - PNV,-22.86853,-43.29501,,,
Linha 2 ESA - PNV,-22.86832,-43.29579,,,
Linha 2 ESA - PNV,-22.86792,-43.29736,,,
Linha 2 ESA - PNV,-22.86792,-43.29736,,,
Linha 2 ESA - PNV,-22.86626,-43.30351,,,
Linha 2 ESA - PNV,-22.86575,-43.30462,,,
Linha 2 ESA - PNV,-22.86501,-43.30550,,,
Linha 2 ESA - PNV,-22.86434,-43.30608,,,
Linha 2 ESA - PNV,-22.86360,-43.30645,,,
Linha 2 ESA - PNV,-22.86300,-43.30665,,,
Linha 2 ESA - PNV,-22.86241,-43.30676,,,
Linha 2 ESA - PNV,-22.86241,-43.30676,,,
Linha 2 ESA - PNV,-22.86158,-43.30694,,,
Linha 2 ESA - PNV,-22.86107,-43.30706,,,
Linha 2 ESA - PNV,-22.86033,-43.30729,,,
Linha 2 ESA - PNV,-22.85928,-43.30772,,,
Linha 2 ESA - PNV,-22.85853,-43.30822,,,
Linha 2 ESA - PNV,-22.85798,-43.30864,,,
Linha 2 ESA - PNV,-22.85683,-43.30967,,,
Linha 2 ESA - PNV,-22.85602,-43.31041,,,
Linha 2 ESA - PNV,-22.85571,-43.31081,,,
Linha 2 ESA - PNV,-22.85396,-43.31326,,,
Linha 2 ESA - PNV,-22.85396,-43.31326,,,
Linha 2 ESA - PNV,-22.85304,-43.31451,,,
Linha 2 ESA - PNV,-22.85245,-43.31543,,,
Linha 2 ESA - PNV,-22.85221,-43.31579,,,
Linha 2 ESA - PNV,-22.85158,-43.31677,,,
Linha 2 ESA - PNV,-22.85135,-43.31712,,,
Linha 2 ESA - PNV,-22.85072,-43.31813,,,
Linha 2 ESA - PNV,-22.85022,-43.31923,,,
Linha 2 ESA - PNV,-22.84989,-43.31994,,,
Linha 2 ESA - PNV,-22.84944,-43.32074,,,
Linha 2 ESA - PNV,-22.84918,-43.32122,,,
Linha 2 ESA - PNV,-22.84895,-43.32164,,,
Linha 2 ESA - PNV,-22.84805,-43.32322,,,
Linha 2 ESA - PNV,-22.84805,-43.32322,,,
Linha 2 ESA - PNV,-22.84746,-43.32449,,,
Linha 2 ESA - PNV,-22.84668,-43.32656,,,
Linha 2 ESA - PNV,-22.84616,-43.32810,,,
Linha 2 ESA - PNV,-22.84568,-43.32890,,,
Linha 2 ESA - PNV,-22.84536,-43.32929,,,
Linha 2 ESA - PNV,-22.84411,-43.33049,,,
Linha 2 ESA - PNV,-22.84340,-43.33117,,,
Linha 2 ESA - PNV,-22.84302,-43.33176,,,
Linha 2 ESA - PNV,-22.84283,-43.33241,,,
Linha 2 ESA - PNV,-22.84279,-43.33269,,,
Linha 2 ESA - PNV,-22.84273,-43.33379,,,
Linha 2 ESA - PNV,-22.84273,-43.33379,,,
Linha 2 ESA - PNV,-22.84262,-43.33494,,,
Linha 2 ESA - PNV,-22.84248,-43.33539,,,
Linha 2 ESA - PNV,-22.84224,-43.33588,,,
Linha 2 ESA - PNV,-22.84206,-43.33614,,,
Linha 2 ESA - PNV,-22.84183,-43.33639,,,
Linha 2 ESA - PNV,-22.84134,-43.33674,,,
Linha 2 ESA - PNV,-22.83866,-43.33831,,,
Linha 2 ESA - PNV,-22.83381,-43.34110,,,
Linha 2 ESA - PNV,-22.83300,-43.34173,,,
Linha 2 ESA - PNV,-22.83252,-43.34217,,,
Linha 2 ESA - PNV,-22.83153,-43.34330,,,
Linha 2 ESA - PNV,-22.83153,-43.34330,,,
Linha 2 ESA - PNV,-22.83031,-43.34462,,,
Linha 2 ESA - PNV,-22.82841,-43.34637,,,
Linha 2 ESA - PNV,-22.82690,-43.34771,,,
Linha 2 ESA - PNV,-22.82467,-43.34960,,,
Linha 2 ESA - PNV,-22.82433,-43.34991,,,
Linha 2 ESA - PNV,-22.82433,-43.34991,,,
Linha 2 ESA - PNV,-22.82363,-43.35048,,,
Linha 2 ESA - PNV,-22.82322,-43.35074,,,
Linha 2 ESA - PNV,-22.82288,-43.35089,,,
Linha 2 ESA - PNV,-22.82241,-43.35106,,,
Linha 2 ESA - PNV,-22.82145,-43.35141,,,
Linha 2 ESA - PNV,-22.82117,-43.35152,,,
Linha 2 ESA - PNV,-22.82083,-43.35170,,,
Linha 2 ESA - PNV,-22.82055,-43.35191,,,
Linha 2 ESA - PNV,-22.82030,-43.35215,,,
Linha 2 ESA - PNV,-22.82016,-43.35234,,,
Linha 2 ESA - PNV,-22.81999,-43.35261,,,
Linha 2 ESA - PNV,-22.81985,-43.35297,,,
Linha 2 ESA - PNV,-22.81974,-43.35335,,,
Linha 2 ESA - PNV,-22.81972,-43.35374,,,
Linha 2 ESA - PNV,-22.81973,-43.35410,,,
Linha 2 ESA - PNV,-22.81976,-43.35446,,,
Linha 2 ESA - PNV,-22.81982,-43.35496,,,
Linha 2 ESA - PNV,-22.81981,-43.35526,,,
Linha 2 ESA - PNV,-22.81981,-43.35530,,,
Linha 2 ESA - PNV,-22.81981,-43.35556,,,
Linha 2 ESA - PNV,-22.81975,-43.35583,,,
Linha 2 ESA - PNV,-22.81968,-43.35604,,,
Linha 2 ESA - PNV,-22.81958,-43.35634,,,
